device,country,topic,level1,level2,raw_messages,raw_users,raw_conversations,date
desktop,840,Health IT News,Technology,IoT and Smart Infrastructure,2,1,1,2025-12-01
desktop,840,Solar System Cleaning,Technology,Cloud Computing,4,3,3,2025-12-01
desktop,840,Dementia Care Platform,Technology,Energy and Environmental Tech,12,8,8,2025-12-01
desktop,840,Skills Development Platform,Technology,General Technology and Services,10,10,10,2025-12-01
desktop,840,User-Generated Content Platform,Financial Services,Regulatory Compliance Bodies,12,10,10,2025-12-01
desktop,840,"Bags, Wallets & Belts",Financial Services,Lending and Credit Operations,11,7,7,2025-12-01
desktop,840,Online Communication Tools,Technology,Mobility and Logistics,3,3,3,2025-12-01
desktop,840,AI Chatbot Builder,Aerospace & Defense,Aerospace Parts & Systems,9,9,9,2025-12-01
desktop,840,AI-powered Clinical Note Automation,Technology,Sports and Fitness Technology,11,9,9,2025-12-01
desktop,840,Brand Design Courses,Technology,Marketing and AdTech,19,14,15,2025-12-01
desktop,840,Health Analysis,Financial Services,Consumer Financial Literacy,2,2,2,2025-12-01
desktop,840,Employee Perks & Discounts,Financial Services,Retail and Commercial Banking,9,8,8,2025-12-01
desktop,840,Hip Hop Culture Content,Technology,Gaming and Immersive Tech,4,3,4,2025-12-01
desktop,840,Client Acquisition Software,Technology,IoT and Smart Infrastructure,1,1,1,2025-12-01
desktop,840,Web3 Art,Technology,Event Management Technology,13,10,10,2025-12-01
desktop,840,Social Media Management for Healthcare,Technology,Telecommunications and Networking,11,8,8,2025-12-01
desktop,840,Landscape Character Assessment,Financial Services,Real Estate Financing,1,1,1,2025-12-01
desktop,840,Serving Tables,Financial Services,Retail and Commercial Banking,10,7,7,2025-12-01
desktop,840,AI for Government,Technology,Mobility and Logistics,2,2,2,2025-12-01
desktop,840,Regulatory Information Database,Financial Services,Investment and Wealth Advisory,2,2,2,2025-12-01
desktop,840,Speaker Support Services,Technology,Energy and Environmental Tech,2,2,2,2025-12-01
desktop,840,Targeted Marketing Services,Technology,IoT and Smart Infrastructure,7,6,6,2025-12-01
desktop,840,Product Image Design,Aerospace & Defense,General Aerospace & Infrastructure,9,8,8,2025-12-01
desktop,840,Vehicle Trade-in/Appraisal,Technology,Travel and Hospitality Technology,1,1,1,2025-12-01
desktop,840,Vocational High School,Financial Services,Lending and Credit Operations,8,5,6,2025-12-01
desktop,840,Ebook Distribution Software,Technology,Travel and Hospitality Technology,7,7,7,2025-12-01
desktop,840,Virtual Private Servers (VPS) for Trading,Financial Services,General Financial Services & Support,2,2,2,2025-12-01
desktop,840,Support for Foster Families,Technology,Cybersecurity and Identity,4,4,4,2025-12-01
desktop,840,Tech Career Mentorship,Aerospace & Defense,Aviation Maintenance & Services,23,22,22,2025-12-01
desktop,840,Linear Technology Components,Technology,Mobility and Logistics,5,4,4,2025-12-01
desktop,840,MCAT Study Guides,Financial Services,Payment Processing Systems,3,3,3,2025-12-01
desktop,840,Plastic Product Development,Technology,Digital Media and Content,3,2,2,2025-12-01
desktop,840,Art Auction Information,Financial Services,Real Estate Financing,5,4,4,2025-12-01
desktop,840,Digital Museum Content,Technology,Scientific Research Tech,1,1,1,2025-12-01
desktop,840,Data Transfer,Technology,Gaming and Immersive Tech,1,1,1,2025-12-01
desktop,840,macOS Management,Technology,IoT and Smart Infrastructure,5,4,5,2025-12-01
desktop,840,Convenience Stores,Technology,Mobility and Logistics,15,15,15,2025-12-01
desktop,840,Perinatal Mood Disorders Therapy,Technology,Search and Information Discovery,7,7,7,2025-12-01
desktop,840,Scenario Modeling,Financial Services,Regulatory Compliance Bodies,4,4,4,2025-12-01
desktop,840,Receivables Acquisition,Technology,Healthcare Technology,1,1,1,2025-12-01
desktop,840,Medical Records Services,Financial Services,General Financial Services & Support,16,14,14,2025-12-01
desktop,840,Tax & Assessment Services,Financial Services,Insurance Solutions,1,1,1,2025-12-01
desktop,840,Oligonucleotide Analysis,Technology,Mobility and Logistics,14,13,13,2025-12-01
desktop,840,Bilingual Healthcare Services,Financial Services,Payment Processing Systems,1,1,1,2025-12-01
desktop,840,Inclusive Theater,Technology,Scientific Research Tech,1,1,1,2025-12-01
desktop,840,DJ & Artist Booking,Financial Services,Accounting and Auditing,2,2,2,2025-12-01
desktop,840,Genetic Diagnostic Kits,Technology,Healthcare Technology,9,7,7,2025-12-01
desktop,840,Genetic Testing (PGT-A/PGT-M),Technology,Hardware and Electronics,2,2,2,2025-12-01
desktop,840,Board Engagement Consulting,Aerospace & Defense,Aerospace Parts & Systems,1,1,1,2025-12-01
desktop,840,Automation Research,Technology,Event Management Technology,3,3,3,2025-12-01
desktop,840,Outbound Telemarketing,Financial Services,Insurance Solutions,7,7,7,2025-12-01
desktop,840,Hotel & Spa RFID Solutions,Technology,IoT and Smart Infrastructure,3,3,3,2025-12-01
desktop,840,EPC Project Management Training,Technology,Mobility and Logistics,11,10,10,2025-12-01
desktop,840,Assay Development Consulting,Financial Services,Investment and Wealth Advisory,6,6,6,2025-12-01
desktop,840,Young Adult Coaching,Technology,Blockchain and Cryptocurrency,1,1,1,2025-12-01
desktop,840,Custom Security Solutions,Technology,Event Management Technology,5,5,5,2025-12-01
desktop,840,Softball Game Scheduling,Financial Services,Lending and Credit Operations,13,5,5,2025-12-01
desktop,840,Box Truck Manufacturing,Aerospace & Defense,Aerospace Engineering,1,1,1,2025-12-01
desktop,840,EMF Bed Canopies,Technology,Digital Media and Content,5,3,3,2025-12-01
desktop,840,Microsoft Sentinel,Aerospace & Defense,Space Technology,22,15,19,2025-12-01
desktop,840,Tennis Facilities,Technology,Sports and Fitness Technology,4,4,4,2025-12-01
desktop,840,Heir Location Services,Technology,Geospatial Technology,14,11,11,2025-12-01
desktop,840,Quantitative Reasoning Courses,Financial Services,Financial Technology Innovation,5,3,3,2025-12-01
desktop,840,Earthworks Services,Technology,Blockchain and Cryptocurrency,2,2,2,2025-12-01
desktop,840,Machine Learning Engineering Blog,Technology,General Technology and Services,10,9,9,2025-12-01
desktop,840,Business Formation & Dissolution,Financial Services,Real Estate Financing,8,6,7,2025-12-01
desktop,840,Budgetary Information,Financial Services,Retail and Commercial Banking,13,8,8,2025-12-01
desktop,840,Apparel & Accessories Deals,Financial Services,Currency and Commodity Trading,14,11,11,2025-12-01
desktop,840,Music Books & Sheet Music,Technology,Software Development,4,4,4,2025-12-01
desktop,840,Platform Design & Development,Aerospace & Defense,General Aerospace & Infrastructure,11,11,11,2025-12-01
desktop,840,Driver's License Reinstatement Support,Financial Services,Accounting and Auditing,3,2,2,2025-12-01
desktop,840,Wireless Telephones,Technology,Hardware and Electronics,8,5,5,2025-12-01
desktop,840,Property Transaction History,Technology,PropTech and Construction,2,2,2,2025-12-01
desktop,840,Sliding Glass Door Hardware,Technology,Retail and E-commerce Tech,6,4,4,2025-12-01
desktop,840,Annotated Bibliography Writing Service,Financial Services,Regulatory Compliance Bodies,4,4,4,2025-12-01
desktop,840,Money Mindset Training,Technology,Blockchain and Cryptocurrency,9,9,9,2025-12-01
desktop,840,Green Economy Promotion,Financial Services,Debt Management Services,3,2,2,2025-12-01
desktop,840,Game Design Tutorials,Technology,Digital Media and Content,9,9,9,2025-12-01
desktop,840,Roadside Services,Technology,Geospatial Technology,2,2,2,2025-12-01
desktop,840,Bread Making Training,Technology,Design and 3D Technology,3,2,2,2025-12-01
desktop,840,Raw Bar Catering,Technology,PropTech and Construction,5,4,4,2025-12-01
desktop,840,Cryptocurrency News & Information,Technology,Marketing and AdTech,19,14,14,2025-12-01
desktop,840,Food Presentation,Technology,Digital Media and Content,11,7,7,2025-12-01
desktop,840,Masonic Swords,Aerospace & Defense,Aerospace Engineering,4,3,3,2025-12-01
desktop,840,In-kind Donation Platform,Technology,Internet and Web Services,7,7,7,2025-12-01
desktop,840,Hair Butters,Technology,Industrial Manufacturing and Robotics,1,1,1,2025-12-01
desktop,840,Virtual Assistant,Technology,Search and Information Discovery,2,1,1,2025-12-01
desktop,840,Food & Clothing Assistance,Technology,Social Platforms,3,3,3,2025-12-01
desktop,840,Second-hand Designer Jewelry,Financial Services,Currency and Commodity Trading,12,9,9,2025-12-01
desktop,840,Legal Exam Questions,Financial Services,Currency and Commodity Trading,1,1,1,2025-12-01
desktop,840,Match Results & Fixtures,Technology,Sports and Fitness Technology,8,6,6,2025-12-01
desktop,840,Open-source Mapping,Technology,AgriTech and FoodTech,14,11,11,2025-12-01
desktop,840,Niche Dating Guides,Technology,Event Management Technology,32,23,25,2025-12-01
desktop,840,Probiotics for Livestock,Technology,Search and Information Discovery,8,4,4,2025-12-01
desktop,840,Mindfulness for Adolescents,Technology,Social Platforms,9,6,6,2025-12-01
desktop,840,Supply Chain Intelligence,Financial Services,Consumer Financial Literacy,2,2,2,2025-12-01
desktop,840,Smartphone Buying,Aerospace & Defense,Aerospace Parts & Systems,2,2,2,2025-12-01
desktop,840,Aluminum Casting,Technology,Industrial Manufacturing and Robotics,5,4,4,2025-12-01
desktop,840,New Vehicle Export,Aerospace & Defense,Aviation Maintenance & Services,5,5,5,2025-12-01
desktop,840,Cultural Encyclopedia,Technology,Scientific Research Tech,2,2,2,2025-12-01
desktop,840,Styling Tools & Accessories,Technology,Digital Media and Content,7,7,7,2025-12-01
desktop,840,Palm Tree Seedlings,Financial Services,Currency and Commodity Trading,4,2,2,2025-12-01
desktop,840,Glycol Products,Technology,Aerospace and Defense,1,1,1,2025-12-01
desktop,840,Red Eye Assessment,Technology,Data Analytics,1,1,1,2025-12-01
desktop,840,Network Engineering Staffing,Technology,Event Management Technology,4,4,4,2025-12-01
desktop,840,Online Privacy Protection,Technology,Software Solutions,3,3,3,2025-12-01
desktop,840,Global Payroll Solutions,Financial Services,Debt Management Services,13,11,11,2025-12-01
desktop,840,Prosthetic Care,Technology,Healthcare Technology,5,2,3,2025-12-01
desktop,840,Vehicle Financing Legal Services,Financial Services,Retail and Commercial Banking,7,7,7,2025-12-01
desktop,840,Portuguese Food Products Distribution,Technology,Mobility and Logistics,3,3,3,2025-12-01
desktop,840,Scientific Papers,Technology,Artificial Intelligence,6,6,6,2025-12-01
desktop,840,Animation Direction,Technology,Industrial Manufacturing and Robotics,14,10,10,2025-12-01
desktop,840,NB-IoT,Technology,Sports and Fitness Technology,15,9,9,2025-12-01
desktop,840,Gate Lights,Technology,Mobility and Logistics,9,9,9,2025-12-01
desktop,840,Travel Videography,Aerospace & Defense,Space Technology,13,11,12,2025-12-01
desktop,840,Concentrated Liquidity Protocol,Technology,General Technology and Services,1,1,1,2025-12-01
desktop,840,E-commerce Analytics Platform,Financial Services,Real Estate Financing,18,18,18,2025-12-01
desktop,840,Marriage Loans,Financial Services,Retail and Commercial Banking,3,3,3,2025-12-01
desktop,840,Skilled Visa Services,Financial Services,Debt Management Services,17,10,10,2025-12-01
desktop,840,e-Government Portals,Technology,Social Platforms,1,1,1,2025-12-01
desktop,840,Mobile Inventory Management,Technology,Internet and Web Services,5,5,5,2025-12-01
desktop,840,Software Release Management,Technology,Geospatial Technology,3,3,3,2025-12-01
desktop,840,Automated Data Pipelines,Technology,Mobility and Logistics,44,35,35,2025-12-01
desktop,840,Gear Machines,Technology,Gaming and Immersive Tech,2,2,2,2025-12-01
desktop,840,Licensing Information,Financial Services,Payment Processing Systems,2,2,2,2025-12-01
desktop,840,Electromechanical Testing,Technology,Hardware and Electronics,15,7,7,2025-12-01
desktop,840,Therapist Supervision & Consultation,Financial Services,General Financial Services & Support,29,19,20,2025-12-01
desktop,840,Video Game Mod Menus,Financial Services,Payment Processing Systems,6,6,6,2025-12-01
desktop,840,Real Estate Events Coverage,Technology,Geospatial Technology,3,2,2,2025-12-01
desktop,840,Cloud-based Payroll Software,Financial Services,Financial Technology Innovation,14,12,13,2025-12-01
desktop,840,Humanistic Hypnosis,Technology,Geospatial Technology,6,4,4,2025-12-01
desktop,840,Font Design,Technology,Educational Technology,25,19,19,2025-12-01
desktop,840,Hair Regrowth,Financial Services,Financial Technology Innovation,5,2,2,2025-12-01
desktop,840,Steering Wheel Customization,Technology,Sports and Fitness Technology,14,11,11,2025-12-01
desktop,840,Member Care Services,Technology,Design and 3D Technology,1,1,1,2025-12-01
desktop,840,Service Contracts,Technology,Industrial Manufacturing and Robotics,1,1,1,2025-12-01
desktop,840,Audience Measurement,Technology,Healthcare Technology,10,7,8,2025-12-01
desktop,840,Sponsorship Management Software,Technology,Cybersecurity and Identity,1,1,1,2025-12-01
desktop,840,Counterfeit Detection Services,Technology,Retail and E-commerce Tech,18,14,15,2025-12-01
desktop,840,Bitcoin Investment,Financial Services,Retail and Commercial Banking,8,3,3,2025-12-01
desktop,840,Diagrams,Technology,Cybersecurity and Identity,7,6,6,2025-12-01
desktop,840,Cybersecurity Awareness Training,Technology,PropTech and Construction,7,5,5,2025-12-01
desktop,840,Electric Vehicles Information,Technology,Event Management Technology,1,1,1,2025-12-01
desktop,840,Gyroplane Flight Training,Financial Services,Real Estate Financing,4,2,2,2025-12-01
desktop,840,Anime-style Games,Technology,Gaming and Immersive Tech,29,16,17,2025-12-01
desktop,840,Face Care Content,Technology,Gaming and Immersive Tech,4,2,2,2025-12-01
desktop,840,Project Controlling Software,Financial Services,Financial Technology Innovation,21,18,19,2025-12-01
desktop,840,Google Review Management,Technology,Aerospace and Defense,3,2,2,2025-12-01
desktop,840,Pet Food Ingredients,Technology,AgriTech and FoodTech,16,7,9,2025-12-01
desktop,840,Product Visualization,Technology,Cybersecurity and Identity,1,1,1,2025-12-01
desktop,840,Bentley Parts,Aerospace & Defense,Aviation Maintenance & Services,4,4,4,2025-12-01
desktop,840,T-Shirt Design Files,Technology,Software Solutions,3,3,3,2025-12-01
desktop,840,Biblical Discipleship,Technology,Mobility and Logistics,8,5,5,2025-12-01
desktop,840,Trust & Investment Services,Financial Services,Retirement Planning,12,10,10,2025-12-01
desktop,840,SETA Accredited Training,Technology,Travel and Hospitality Technology,3,3,3,2025-12-01
desktop,840,Deals & Coupons Blog,Financial Services,Currency and Commodity Trading,4,3,3,2025-12-01
desktop,840,Colonial History Research,Financial Services,Lending and Credit Operations,2,2,2,2025-12-01
desktop,840,Crowdsourcing Platform,Technology,IT Services and Support,5,5,5,2025-12-01
desktop,840,Software Updates,Technology,Hardware and Electronics,7,6,6,2025-12-01
desktop,840,Brand Campaign Design,Financial Services,General Financial Services & Support,3,3,3,2025-12-01
desktop,840,Grant & Funding Acquisition,Financial Services,Retirement Planning,18,18,18,2025-12-01
desktop,840,Autism Spectrum Disorder (ASD) Assessment & Treatment,Technology,PropTech and Construction,2,2,2,2025-12-01
desktop,840,Penetrators,Financial Services,Regulatory Compliance Bodies,10,9,9,2025-12-01
desktop,840,Rabbit Hay,Technology,AgriTech and FoodTech,3,3,3,2025-12-01
desktop,840,DKIM Checker,Technology,Cloud Computing,9,7,7,2025-12-01
desktop,840,Student Life Guides,Financial Services,Investment Banking and Capital Markets,3,3,3,2025-12-01
desktop,840,User Engagement Software,Technology,Marketing and AdTech,7,7,7,2025-12-01
desktop,840,Kubernetes Consulting,Technology,Aerospace and Defense,8,8,8,2025-12-01
desktop,840,Live Race Coverage,Financial Services,Financial Data Analytics,2,2,2,2025-12-01
desktop,840,Machinery Repair,Technology,IT Services and Support,4,3,3,2025-12-01
desktop,840,Project Cycle Management Training,Technology,Mobility and Logistics,24,22,22,2025-12-01
desktop,840,Underwater Data Collection,Financial Services,Currency and Commodity Trading,1,1,1,2025-12-01
desktop,840,Speaker Bureaus,Financial Services,Lending and Credit Operations,6,6,6,2025-12-01
desktop,840,Self-Awareness Coaching,Technology,Design and 3D Technology,45,29,32,2025-12-01
desktop,840,Photobiomodulation Training,Technology,Digital Media and Content,4,4,4,2025-12-01
desktop,840,Operational Model Development,Technology,Gaming and Immersive Tech,2,1,1,2025-12-01
desktop,840,Western Tops,Technology,Geospatial Technology,5,5,5,2025-12-01
desktop,840,Residential Building Models,Technology,Design and 3D Technology,8,7,7,2025-12-01
desktop,840,Leadership Conferences,Financial Services,Investment and Wealth Advisory,11,9,9,2025-12-01
desktop,840,Personalized Pyjamas,Financial Services,Accounting and Auditing,1,1,1,2025-12-01
desktop,840,Visual Content Management,Technology,Artificial Intelligence,13,9,10,2025-12-01
desktop,840,Content Creation Services,Technology,Gaming and Immersive Tech,6,5,5,2025-12-01
desktop,840,Scholarships and Awards,Financial Services,Retail and Commercial Banking,4,4,4,2025-12-01
desktop,840,Furry Fandom Merchandise,Technology,Digital Media and Content,18,13,13,2025-12-01
desktop,840,Egg Art,Technology,Design and 3D Technology,5,5,5,2025-12-01
desktop,840,Website Navigation,Technology,Cloud Computing,2,2,2,2025-12-01
desktop,840,EU Funded Project Management,Aerospace & Defense,Aerospace Parts & Systems,1,1,1,2025-12-01
desktop,840,Water Loss Management,Technology,Energy and Environmental Tech,9,6,6,2025-12-01
desktop,840,Scout Campsite,Aerospace & Defense,Defense Systems,7,5,5,2025-12-01
desktop,840,Tithe Collection,Financial Services,General Financial Services & Support,1,1,1,2025-12-01
desktop,840,USB Cable Assemblies,Technology,Digital Media and Content,2,2,2,2025-12-01
desktop,840,Information & Communication,Technology,Cybersecurity and Identity,6,4,4,2025-12-01
desktop,840,SMS Communication Software,Technology,Software Development,27,25,26,2025-12-01
desktop,840,Vocabulary Lists,Technology,Event Management Technology,19,17,17,2025-12-01
desktop,840,Email List Segmentation,Technology,Educational Technology,5,2,2,2025-12-01
desktop,840,Mixed-Use Development Leasing,Financial Services,Payment Processing Systems,1,1,1,2025-12-01
desktop,840,Commercial Development Consulting,Financial Services,Lending and Credit Operations,1,1,1,2025-12-01
desktop,840,Running Coaching & Training,Technology,Internet and Web Services,4,4,4,2025-12-01
desktop,840,Civil-Military Relations Research,Technology,Government Technology,8,6,6,2025-12-01
desktop,840,Chatbot Games,Financial Services,General Financial Services & Support,4,3,3,2025-12-01
desktop,840,Frequency Specific Microcurrent (FSM),Technology,Energy and Environmental Tech,2,2,2,2025-12-01
desktop,840,Continuous Glucose Monitor (CGM) Accessories,Technology,Retail and E-commerce Tech,5,5,5,2025-12-01
desktop,840,Hockey Club,Technology,Event Management Technology,3,3,3,2025-12-01
desktop,840,Leadership Content,Financial Services,Consumer Financial Literacy,12,11,11,2025-12-01
desktop,840,Cloud Transformation Consulting,Technology,Blockchain and Cryptocurrency,13,11,11,2025-12-01
desktop,840,Procurement Opportunity Aggregation,Technology,Energy and Environmental Tech,3,3,3,2025-12-01
desktop,840,Daily Life Assistance,Financial Services,Accounting and Auditing,3,3,3,2025-12-01
desktop,840,Food System Improvement,Financial Services,Investment and Wealth Advisory,4,3,3,2025-12-01
desktop,840,Somatic Counseling,Technology,Gaming and Immersive Tech,2,2,2,2025-12-01
desktop,840,Legal Assistance Coordination,Financial Services,Lending and Credit Operations,23,20,20,2025-12-01
desktop,840,Metal Panel Systems,Technology,Energy and Environmental Tech,2,2,2,2025-12-01
desktop,840,Personal Vehicle Tracking,Technology,Scientific Research Tech,5,4,4,2025-12-01
desktop,840,Tuition Assistance,Technology,Event Management Technology,19,17,17,2025-12-01
desktop,840,Passionflower Supplements,Financial Services,Insurance Solutions,3,1,1,2025-12-01
desktop,840,Physician Career Coaching,Technology,Event Management Technology,25,20,23,2025-12-01
desktop,840,Power Supplies & Conditioners,Technology,Scientific Research Tech,6,5,5,2025-12-01
desktop,840,Pre-Seed Investment,Technology,Internet and Web Services,2,2,2,2025-12-01
desktop,840,Member Training & Support,Technology,Search and Information Discovery,6,6,6,2025-12-01
desktop,840,Men's Custom Jackets,Aerospace & Defense,General Aerospace & Infrastructure,5,4,4,2025-12-01
desktop,840,Toys & Baby Products Wholesale,Aerospace & Defense,Unmanned Systems,1,1,1,2025-12-01
desktop,840,IT Rollouts & Migrations,Technology,Consumer Electronics and Personal Computing,4,4,4,2025-12-01
desktop,840,Target Shooting,Technology,Retail and E-commerce Tech,5,5,5,2025-12-01
desktop,840,Insurance Operations Support,Financial Services,Insurance Solutions,10,10,10,2025-12-01
desktop,840,Student-Athlete Resources,Financial Services,Consumer Financial Literacy,21,5,5,2025-12-01
desktop,840,Web Novel Writing Training,Financial Services,Debt Management Services,17,14,15,2025-12-01
desktop,840,Ad Targeting Opt-Out Services,Financial Services,Investment and Wealth Advisory,2,2,2,2025-12-01
desktop,840,Canvas Photo Prints,Aerospace & Defense,Aircraft Manufacturing,16,15,15,2025-12-01
desktop,840,Small Loan Services,Financial Services,General Financial Services & Support,16,13,13,2025-12-01
desktop,840,CI/CD Tutorials,Technology,Cybersecurity and Identity,8,5,6,2025-12-01
desktop,840,Anonymous Chat Support,Aerospace & Defense,General Aerospace & Infrastructure,3,3,3,2025-12-01
desktop,840,Sauna Experiences,Technology,Event Management Technology,10,9,9,2025-12-01
desktop,840,Cultural Mediation Programs,Technology,Search and Information Discovery,7,7,7,2025-12-01
desktop,840,Trading Education,Financial Services,Accounting and Auditing,10,8,8,2025-12-01
desktop,840,Mobile Home Appraisal,Financial Services,Debt Management Services,4,3,3,2025-12-01
desktop,840,Mail Handling Services,Technology,PropTech and Construction,3,3,3,2025-12-01
desktop,840,Television Technology News,Technology,Marketing and AdTech,4,4,4,2025-12-01
desktop,840,"Cosmetic Dentistry (Veneers, Whitening)",Financial Services,Payment Processing Systems,1,1,1,2025-12-01
desktop,840,Accreditation Workshops,Financial Services,Accounting and Auditing,8,4,4,2025-12-01
desktop,840,Instrument Setup,Technology,Scientific Research Tech,5,4,4,2025-12-01
desktop,840,HIV Treatment Access,Technology,IoT and Smart Infrastructure,2,1,1,2025-12-01
desktop,840,Climbing Plant Seeds,Technology,AgriTech and FoodTech,5,4,4,2025-12-01
desktop,840,Specialty Product Printing,Financial Services,Retail and Commercial Banking,6,6,6,2025-12-01
desktop,840,Luxury Flower Delivery,Technology,Mobility and Logistics,1,1,1,2025-12-01
desktop,840,Art Tiles,Technology,Hardware and Electronics,2,2,2,2025-12-01
desktop,840,Domestic Violence Investigations,Technology,Cybersecurity and Identity,15,9,11,2025-12-01
desktop,840,PhD Positions,Financial Services,Retirement Planning,10,8,9,2025-12-01
desktop,840,Microbiology Cultures,Technology,Mobility and Logistics,7,6,7,2025-12-01
desktop,840,Hot Cells,Technology,Cybersecurity and Identity,5,3,3,2025-12-01
desktop,840,Airflow Cleaning,Technology,Travel and Hospitality Technology,5,5,5,2025-12-01
desktop,840,Wooden Knobs,Technology,Design and 3D Technology,5,5,5,2025-12-01
desktop,840,Healthcare Practice Financing,Financial Services,Financial Technology Innovation,7,6,6,2025-12-01
desktop,840,Tile Leveling Systems,Financial Services,Real Estate Financing,3,3,3,2025-12-01
desktop,840,Legal & Criminalistics Training,Financial Services,Accounting and Auditing,7,6,7,2025-12-01
desktop,840,Kubernetes Development,Technology,Software Solutions,18,15,15,2025-12-01
desktop,840,Medication Safety Consulting,Financial Services,Accounting and Auditing,18,11,11,2025-12-01
desktop,840,Mathematical Visualizations,Technology,Marketing and AdTech,4,2,2,2025-12-01
desktop,840,Fixed Income Trading,Technology,Travel and Hospitality Technology,5,4,4,2025-12-01
desktop,840,Organic Personal Care Products,Financial Services,Debt Management Services,13,9,9,2025-12-01
desktop,840,Rolled Copper Products,Financial Services,General Financial Services & Support,3,3,3,2025-12-01
desktop,840,Delivery Excellence Consulting,Aerospace & Defense,Unmanned Systems,14,13,13,2025-12-01
desktop,840,Branded USB & Electronics,Financial Services,Retail and Commercial Banking,2,2,2,2025-12-01
desktop,840,Gift Voucher Programs,Technology,Travel and Hospitality Technology,24,22,23,2025-12-01
desktop,840,Clearcoats,Technology,Industrial Manufacturing and Robotics,1,1,1,2025-12-01
desktop,840,Facade Glazing Systems,Technology,Consumer Electronics and Personal Computing,1,1,1,2025-12-01
desktop,840,Green Entrepreneurship Support,Technology,Consumer Electronics and Personal Computing,1,1,1,2025-12-01
desktop,840,Medical Billing & Reimbursement Consulting,Technology,Digital Media and Content,9,6,7,2025-12-01
desktop,840,Home Maintenance Blog,Financial Services,Retirement Planning,1,1,1,2025-12-01
desktop,840,Investor Inspection,Financial Services,Financial Technology Innovation,5,5,5,2025-12-01
desktop,840,Machine Training,Aerospace & Defense,Aerospace Parts & Systems,3,3,3,2025-12-01
desktop,840,Pouch Patterns,Aerospace & Defense,Aerospace Parts & Systems,9,7,7,2025-12-01
desktop,840,System Integration & Maintenance,Technology,Design and 3D Technology,2,2,2,2025-12-01
desktop,840,Truck Consortium Quotas,Technology,PropTech and Construction,2,2,2,2025-12-01
desktop,840,Caregiver Training & Certification,Technology,AgriTech and FoodTech,4,1,1,2025-12-01
desktop,840,Holographic Technology,Technology,Sports and Fitness Technology,8,7,7,2025-12-01
desktop,840,Study Apps,Technology,Scientific Research Tech,1,1,1,2025-12-01
desktop,840,Microservices Orchestration,Technology,Government Technology,3,3,3,2025-12-01
desktop,840,Factoring Services Comparison,Aerospace & Defense,Aviation Maintenance & Services,2,2,2,2025-12-01
desktop,840,Low Voltage Electrical Contracting,Technology,PropTech and Construction,3,3,3,2025-12-01
desktop,840,Electrical Commissioning,Technology,Event Management Technology,22,15,17,2025-12-01
desktop,840,ATEX Consulting,Technology,IoT and Smart Infrastructure,1,1,1,2025-12-01
desktop,840,Curated Gifts,Financial Services,General Financial Services & Support,7,7,7,2025-12-01
desktop,840,Venture Capital Database,Technology,Search and Information Discovery,34,25,26,2025-12-01
desktop,840,Bankruptcy Checks,Technology,Blockchain and Cryptocurrency,14,9,9,2025-12-01
desktop,840,Reusable Packaging Logistics,Technology,Sports and Fitness Technology,2,2,2,2025-12-01
desktop,840,Firebase Development,Aerospace & Defense,General Aerospace & Infrastructure,3,3,3,2025-12-01
desktop,840,Caravan & Trailer Accessories,Aerospace & Defense,Unmanned Systems,4,2,3,2025-12-01
desktop,840,Nail Primers,Aerospace & Defense,Aerospace Parts & Systems,1,1,1,2025-12-01
desktop,840,Video Production Tips,Financial Services,Financial Technology Innovation,24,18,20,2025-12-01
desktop,840,Domain Name Leasing,Technology,Cybersecurity and Identity,6,6,6,2025-12-01
desktop,840,Automotive Parts & Fluids,Technology,Industrial Manufacturing and Robotics,4,4,4,2025-12-01
desktop,840,Large Cents,Financial Services,Retirement Planning,1,1,1,2025-12-01
desktop,840,GPU Acceleration Software,Technology,IT Services and Support,4,4,4,2025-12-01
desktop,840,Car Sales & Service,Technology,Mobility and Logistics,7,5,5,2025-12-01
desktop,840,Home Nursing Services,Financial Services,Retail and Commercial Banking,6,6,6,2025-12-01
desktop,840,Fire Torches,Technology,PropTech and Construction,1,1,1,2025-12-01
desktop,840,Consignment Management Software,Technology,Software Development,3,3,3,2025-12-01
desktop,840,Bollard Signs,Technology,Event Management Technology,6,6,6,2025-12-01
desktop,840,B2B Solutions Consulting,Financial Services,Investment Banking and Capital Markets,21,17,17,2025-12-01
desktop,840,Enterprise Document Management,Technology,Government Technology,6,5,5,2025-12-01
desktop,840,Demographic Data Provision,Technology,Government Technology,17,8,8,2025-12-01
desktop,840,Logo & Identity Design,Aerospace & Defense,Aircraft Manufacturing,11,10,10,2025-12-01
desktop,840,Dietary Supplements for Men's Health,Technology,Healthcare Technology,14,13,14,2025-12-01
desktop,840,Video Advertising Software,Technology,AgriTech and FoodTech,10,8,8,2025-12-01
desktop,840,Human-Animal Relationship Coaching,Financial Services,General Financial Services & Support,10,7,8,2025-12-01
desktop,840,Float Fishing Trips,Technology,Search and Information Discovery,1,1,1,2025-12-01
desktop,840,Control Instrumentation,Aerospace & Defense,Unmanned Systems,1,1,1,2025-12-01
desktop,840,Automotive ECU Repair Training,Technology,General Technology and Services,6,4,4,2025-12-01
desktop,840,Smartphone Repair Parts,Financial Services,Debt Management Services,5,5,5,2025-12-01
desktop,840,Multiplayer Game Server Hosting,Technology,Cloud Computing,17,11,12,2025-12-01
desktop,840,UPC Barcodes,Technology,Retail and E-commerce Tech,11,9,9,2025-12-01
